slug,date,title,url,post_type,visibility
9-career-insights-every-professional-needs-to-know,2024-04-29,9 Career Insights Every Professional Needs to Know,https://typeshare.co/seanoliver/posts/9-career-insights-every-professional-needs-to-know,Deck,hidden
how-i-stayed-sane-in-my-job-search,2024-04-21,How I Stayed Sane In My Job Search,https://typeshare.co/seanoliver/posts/how-i-stayed-sane-in-my-job-search,LinkedIn_Post,hidden
what-i-would-do-today-to-land-a-role-at-microsoft,2024-04-19,What I would do today to land a role at Microsoft,https://typeshare.co/seanoliver/posts/what-i-would-do-today-to-land-a-role-at-microsoft,LinkedIn_Post,hidden
3-tips-to-transform-your-job-search-from-a-solitary-slog-to-a-collaborative-journey,2024-04-16,3 Tips to Transform Your Job Search from a Solitary Slog to a Collaborative Journey,https://typeshare.co/seanoliver/posts/3-tips-to-transform-your-job-search-from-a-solitary-slog-to-a-collaborative-journey,Atomic_Essay,public
how-to-navigate-the-hidden-job-market-through-strategic-networking,2024-04-14,How to Navigate the Hidden Job Market Through Strategic Networking,https://typeshare.co/seanoliver/posts/how-to-navigate-the-hidden-job-market-through-strategic-networking,Atomic_Essay,public
1-realization-from-the-current-job-market-impacting-job-seekers,2024-04-13,1 Realization From The Current Job Market Impacting Job Seekers,https://typeshare.co/seanoliver/posts/1-realization-from-the-current-job-market-impacting-job-seekers,Atomic_Essay,public
3-ways-to-break-out-of-your-comfort-zone-and-build-meaningful-connections,2024-04-12,3 Ways to Break Out of Your Comfort Zone and Build Meaningful Connections,https://typeshare.co/seanoliver/posts/3-ways-to-break-out-of-your-comfort-zone-and-build-meaningful-connections,Atomic_Essay,public
2024-04-12-1819,2024-04-12,Get specific in your job search,https://typeshare.co/seanoliver/posts/2024-04-12-1819,Tweet_Thread,hidden
5-lessons-i-learned-during-my-12-month-job-search-to-stay-motivated-and-land-my-dream-role,2024-04-12,5 Lessons I Learned During My 12-Month Job Search to Stay Motivated and Land My Dream Role,https://typeshare.co/seanoliver/posts/5-lessons-i-learned-during-my-12-month-job-search-to-stay-motivated-and-land-my-dream-role,Atomic_Essay,public
the-insiders-guide-to-powerful-networking,2024-04-12,The Insider’s Guide to Powerful Networking,https://typeshare.co/seanoliver/posts/the-insiders-guide-to-powerful-networking,Deck,hidden
avoid-this-1-common-mistake-job-seekers-make-and-improve-your-results,2024-04-11,Avoid This 1 Common Mistake Job Seekers Make And Improve Your Results,https://typeshare.co/seanoliver/posts/avoid-this-1-common-mistake-job-seekers-make-and-improve-your-results,Atomic_Essay,public
5-ways-to-make-meaningful-connections,2024-04-10,5 Ways To Make Meaningful Connections,https://typeshare.co/seanoliver/posts/5-ways-to-make-meaningful-connections,Atomic_Essay,public
3-reasons-launching-a-job-hunt-newsletter-could-be-your-best-move,2024-03-13,3 Reasons Launching a Job Hunt Newsletter Could Be Your Best Move,https://typeshare.co/seanoliver/posts/3-reasons-launching-a-job-hunt-newsletter-could-be-your-best-move,Atomic_Essay,public
this-1-error-is-killing-your-job-search,2024-03-12,This 1 Error Is Killing Your Job Search,https://typeshare.co/seanoliver/posts/this-1-error-is-killing-your-job-search,Atomic_Essay,public
want-to-help-a-job-searcher-dont-send-a-job-link,2024-03-07,Want To Help A Job Searcher? Don't Send A Job Link,https://typeshare.co/seanoliver/posts/want-to-help-a-job-searcher-dont-send-a-job-link,Atomic_Essay,public
avoid-this-networking-mistake-and-watch-your-relationships-improve,2024-03-06,Avoid This Networking Mistake And Watch Your Relationships Improve,https://typeshare.co/seanoliver/posts/avoid-this-networking-mistake-and-watch-your-relationships-improve,Atomic_Essay,public
3-books-im-reading-right-now-to-get-better-at-job-searching,2024-01-25,3 Books I'm Reading Right Now To Get Better At Job Searching,https://typeshare.co/seanoliver/posts/3-books-im-reading-right-now-to-get-better-at-job-searching,Atomic_Essay,public
2-steps-professionals-can-use-to-save-5-hours-this-week,2024-01-08,2 Steps Professionals Can Use To Save 5 Hours This Week,https://typeshare.co/seanoliver/posts/2-steps-professionals-can-use-to-save-5-hours-this-week,Atomic_Essay,public
but-is-it-legal,2024-01-02,But is it legal?,https://typeshare.co/seanoliver/posts/but-is-it-legal,Deck,hidden
3-tips-for-async-communication-most-professionals-miss,2023-12-16,3 Tips For Async Communication Most Professionals Miss,https://typeshare.co/seanoliver/posts/3-tips-for-async-communication-most-professionals-miss,Atomic_Essay,public
how-i-cut-my-wasted-meeting-time-by-80percent-with-3-questions,2023-12-08,How I Cut My Wasted Meeting Time by 80% With 3 Questions,https://typeshare.co/seanoliver/posts/how-i-cut-my-wasted-meeting-time-by-80percent-with-3-questions,Atomic_Essay,public
3-biz-communication-tips-for-professionals-in-2024,2023-12-07,3 Biz Communication Tips For Professionals In 2024,https://typeshare.co/seanoliver/posts/3-biz-communication-tips-for-professionals-in-2024,Atomic_Essay,public
the-10-week-strategy-that-turned-job-hunting-into-valuable-insight,2023-12-06,The 10-Week Strategy That Turned Job Hunting Into Valuable Insight,https://typeshare.co/seanoliver/posts/the-10-week-strategy-that-turned-job-hunting-into-valuable-insight,Atomic_Essay,public
4-skills-i-want-to-build-on-in-2024,2023-12-05,4 Skills I Want To Build On In 2024,https://typeshare.co/seanoliver/posts/4-skills-i-want-to-build-on-in-2024,Atomic_Essay,public
4-controversial-opinions-on-meetings-99percent-of-the-world-agrees-withbut-i-do-not,2023-12-04,4 Controversial Opinions On Meetings 99% Of The World Agrees With—But I Do Not,https://typeshare.co/seanoliver/posts/4-controversial-opinions-on-meetings-99percent-of-the-world-agrees-withbut-i-do-not,Atomic_Essay,public
the-3-biggest-mistakes-people-make-when-networking,2023-12-02,The 3 Biggest Mistakes People Make When Networking,https://typeshare.co/seanoliver/posts/the-3-biggest-mistakes-people-make-when-networking,Atomic_Essay,public
3-rules-for-busy-professionals-to-live-a-results-filled-life-you-can-be-proud-of-each-day,2023-11-24,3 Rules For Busy Professionals To Live A Results-Filled Life You Can Be Proud Of Each Day,https://typeshare.co/seanoliver/posts/3-rules-for-busy-professionals-to-live-a-results-filled-life-you-can-be-proud-of-each-day,Atomic_Essay,public
1-work-template-to-transform-your-career-and-write-your-reviews-with-ease,2023-10-21,1 Work Template To Transform Your Career And Write Your Reviews With Ease,https://typeshare.co/seanoliver/posts/1-work-template-to-transform-your-career-and-write-your-reviews-with-ease,Atomic_Essay,public
clnjdllo9001ul60a8ae5dnee,2023-10-09,1 Productivity Lesson For Modern Workers To Get More Done Today,https://typeshare.co/seanoliver/posts/clnjdllo9001ul60a8ae5dnee,LinkedIn_Post,hidden
improve-your-career-by-avoiding-these-3-mistakes,2023-07-20,Improve Your Career By Avoiding These 3 Mistakes,https://typeshare.co/seanoliver/posts/improve-your-career-by-avoiding-these-3-mistakes,Atomic_Essay,public
how-to-tackle-overwhelm-step-by-step,2023-07-18,How To Tackle Overwhelm Step-By-Step,https://typeshare.co/seanoliver/posts/how-to-tackle-overwhelm-step-by-step,Atomic_Essay,public
master-the-art-of-documenting-your-wins,2023-06-24,Master the Art of Documenting Your Wins,https://typeshare.co/seanoliver/posts/master-the-art-of-documenting-your-wins,Atomic_Essay,public
3-note-taking-tips-from-ryan-holiday,2023-06-12,3 Note-Taking Tips From Ryan Holiday,https://typeshare.co/seanoliver/posts/3-note-taking-tips-from-ryan-holiday,Atomic_Essay,public
stay-ahead-in-your-field-three-easy-strategies-for-effective-note-taking,2023-06-08,Stay Ahead in Your Field: Three Easy Strategies for Effective Note-Taking,https://typeshare.co/seanoliver/posts/stay-ahead-in-your-field-three-easy-strategies-for-effective-note-taking,Atomic_Essay,public
build-stronger-bonds-with-coworkers-with-these-3-details,2023-06-06,Build Stronger Bonds With Coworkers With These 3 Details,https://typeshare.co/seanoliver/posts/build-stronger-bonds-with-coworkers-with-these-3-details,Atomic_Essay,public
how-to-set-up-your-note-taking-system-without-these-3-mistakes,2023-05-29,How to Set Up Your Note-Taking System Without These 3 Mistakes,https://typeshare.co/seanoliver/posts/how-to-set-up-your-note-taking-system-without-these-3-mistakes,Atomic_Essay,public
3-technology-add-ons-to-aid-your-note-taking,2023-05-25,3 Technology Add-ons to Aid Your Note-Taking,https://typeshare.co/seanoliver/posts/3-technology-add-ons-to-aid-your-note-taking,Atomic_Essay,public
3-science-backed-reasons-for-analog-notes,2023-05-22,3 Science-Backed Reasons For Analog Notes,https://typeshare.co/seanoliver/posts/3-science-backed-reasons-for-analog-notes,Atomic_Essay,public
3-ways-to-create-a-success-flywheel-with-your-notes,2023-05-19,3 Ways to Create a Success Flywheel With Your Notes,https://typeshare.co/seanoliver/posts/3-ways-to-create-a-success-flywheel-with-your-notes,Atomic_Essay,public
unlock-3-winning-outcomes-with-a-consistent-note-taking-system,2023-05-18,Unlock 3 Winning Outcomes with a Consistent Note-Taking System,https://typeshare.co/seanoliver/posts/unlock-3-winning-outcomes-with-a-consistent-note-taking-system,Atomic_Essay,public
harnessing-meeting-notes-for-productivity-clarity,2023-05-18,Harnessing Meeting Notes for Productivity & Clarity,https://typeshare.co/seanoliver/posts/harnessing-meeting-notes-for-productivity-clarity,Atomic_Essay,public
an-unexpected-strategy-for-keeping-your-notes-organized-clutter-at-bay,2023-05-12,An Unexpected Strategy for Keeping Your Notes Organized & Clutter at Bay,https://typeshare.co/seanoliver/posts/an-unexpected-strategy-for-keeping-your-notes-organized-clutter-at-bay,Atomic_Essay,public
3-secrets-to-connecting-digital-and-analog-notes,2023-04-25,3 Secrets to Connecting Digital and Analog notes,https://typeshare.co/seanoliver/posts/3-secrets-to-connecting-digital-and-analog-notes,Atomic_Essay,public
4-ways-to-create-an-unfair-advantage-with-your-personal-knowledge-base,2023-03-15,4 Ways To Create An Unfair Advantage With Your Personal Knowledge Base,https://typeshare.co/seanoliver/posts/4-ways-to-create-an-unfair-advantage-with-your-personal-knowledge-base,Atomic_Essay,public
3-tips-to-avoid-a-stale-career,2023-03-14,3 Tips To Avoid A Stale Career,https://typeshare.co/seanoliver/posts/3-tips-to-avoid-a-stale-career,Atomic_Essay,public
find-your-next-job-with-crap-xia0,2023-03-12,Find Your Next Job With C.R.A.P.,https://typeshare.co/seanoliver/posts/find-your-next-job-with-crap-xia0,LinkedIn_Post,hidden
job-hunters-avoid-this-stupid-mistake,2023-03-07,"Job Hunters, Avoid This Stupid Mistake",https://typeshare.co/seanoliver/posts/job-hunters-avoid-this-stupid-mistake,Atomic_Essay,public
3-ways-to-build-your-attention-superpower,2023-02-22,3 Ways To Build Your Attention Superpower,https://typeshare.co/seanoliver/posts/3-ways-to-build-your-attention-superpower,Atomic_Essay,public
7-tips-to-boost-productivity-with-effective-note-taking,2023-02-12,7 Tips to Boost Productivity With Effective Note-taking,https://typeshare.co/seanoliver/posts/7-tips-to-boost-productivity-with-effective-note-taking,Atomic_Essay,public
the-yay-me-file-the-ultimate-solution-to-boosting-productivity-and-celebrating-success,2023-02-12,The Yay Me File-The Ultimate Solution to Boosting Productivity and Celebrating Success,https://typeshare.co/seanoliver/posts/the-yay-me-file-the-ultimate-solution-to-boosting-productivity-and-celebrating-success,Atomic_Essay,public
the-gift-of-hard-times-ghsd,2023-02-03,The Gift Of Hard Times,https://typeshare.co/seanoliver/posts/the-gift-of-hard-times-ghsd,LinkedIn_Post,hidden
pay-no-mind,2023-01-26,Are You On The Pay-No-Mind List?,https://typeshare.co/seanoliver/posts/pay-no-mind,Tweet_Thread,hidden
how-amateurs-find-new-jobs-7uh4,2022-11-27,How amateurs find new jobs,https://typeshare.co/seanoliver/posts/how-amateurs-find-new-jobs-7uh4,LinkedIn_Post,hidden
-hidden-apple-watch-features-guaranteed-to-improve-your-habits-written-by-an-average-guy-klvk,2022-09-25,5 Hidden Apple Watch Features Guaranteed To Improve Your Habits (Written By An Average Guy),https://typeshare.co/seanoliver/posts/-hidden-apple-watch-features-guaranteed-to-improve-your-habits-written-by-an-average-guy-klvk,Medium_Story,hidden
do-you-use-villainy-to-your-advantage,2022-09-24,Do You Use Villainy To Your Advantage?,https://typeshare.co/seanoliver/posts/do-you-use-villainy-to-your-advantage,Medium_Story,hidden
-NCp8v1tcXm5Y33z0Jag,2022-09-22,,https://typeshare.co/seanoliver/posts/-NCp8v1tcXm5Y33z0Jag,Tweet_Thread,hidden
-NCB7Kir18zxO1UnL9IA,2022-09-17,,https://typeshare.co/seanoliver/posts/-NCB7Kir18zxO1UnL9IA,Tweet_Thread,hidden
accomplishment-looks-different,2022-09-12,Accomplishment looks different,https://typeshare.co/seanoliver/posts/accomplishment-looks-different,Tweet_Thread,hidden
-NBj91IoN57n9OaVfSZc,2022-09-11,,https://typeshare.co/seanoliver/posts/-NBj91IoN57n9OaVfSZc,LinkedIn_Post,hidden
inspira-sean,2022-09-04,Inspira-Sean,https://typeshare.co/seanoliver/posts/inspira-sean,LinkedIn_Post,hidden
not-all-work-days-are-equal-i2bh,2022-07-11,Not All Work Days Are Equal,https://typeshare.co/seanoliver/posts/not-all-work-days-are-equal-i2bh,LinkedIn_Post,hidden
career-advancement-101,2022-06-22,Career Advancement 101,https://typeshare.co/seanoliver/posts/career-advancement-101,LinkedIn_Post,hidden
-N59--g_czn8-OKelF2j,2022-06-22,,https://typeshare.co/seanoliver/posts/-N59--g_czn8-OKelF2j,Tweet_Thread,hidden
a-practical-career-guide,2022-06-20,A Practical Career Guide,https://typeshare.co/seanoliver/posts/a-practical-career-guide,Tweet_Thread,hidden
note-taking-101-my-favorite-hacks,2022-06-10,Note-taking 101: My Favorite Hacks,https://typeshare.co/seanoliver/posts/note-taking-101-my-favorite-hacks,Tweet_Thread,hidden
the-1-life-lesson-ill-never-forget-nabc,2022-06-10,The 1 Life Lesson I'll Never Forget,https://typeshare.co/seanoliver/posts/the-1-life-lesson-ill-never-forget-nabc,LinkedIn_Post,hidden
one-tool-for-better-decision-making,2022-06-01,One Tool for Better Decision Making,https://typeshare.co/seanoliver/posts/one-tool-for-better-decision-making,Tweet_Thread,hidden
how-to-work-in-person-again-a-guide,2022-05-19,How To Work In-Person Again: A Guide,https://typeshare.co/seanoliver/posts/how-to-work-in-person-again-a-guide,Tweet_Thread,hidden
-N2PGYbowO2nKny9Y38s,2022-05-19,,https://typeshare.co/seanoliver/posts/-N2PGYbowO2nKny9Y38s,LinkedIn_Post,hidden
can-you-write-better-than-me,2022-05-19,Can You Write Better Than Me?,https://typeshare.co/seanoliver/posts/can-you-write-better-than-me,LinkedIn_Post,hidden
improve-this-one-thing-and-annoy-your-coworkers-less,2022-05-18,Improve This One Thing And Annoy Your Coworkers Less,https://typeshare.co/seanoliver/posts/improve-this-one-thing-and-annoy-your-coworkers-less,LinkedIn_Post,hidden
you-dont-need-permission,2022-05-17,You Don't Need Permission,https://typeshare.co/seanoliver/posts/you-dont-need-permission,LinkedIn_Post,hidden
intentions-are-like-that-dream-you-had-nobody-cares,2022-05-13,Intentions Are Like That Dream You Had-Nobody Cares,https://typeshare.co/seanoliver/posts/intentions-are-like-that-dream-you-had-nobody-cares,Tweet_Thread,hidden
you-have-everything-you-need-to-get-what-you-want,2022-05-11,You Have Everything You Need To Get What You Want,https://typeshare.co/seanoliver/posts/you-have-everything-you-need-to-get-what-you-want,Tweet_Thread,hidden
my-productivity-origin-story-i50c,2022-05-09,My Productivity Origin Story,https://typeshare.co/seanoliver/posts/my-productivity-origin-story-i50c,LinkedIn_Post,hidden
how-to-use-pain-to-improve-your-life-7nx2,2022-04-27,How to use pain to improve your life,https://typeshare.co/seanoliver/posts/how-to-use-pain-to-improve-your-life-7nx2,Tweet_Thread,hidden
leadership-lessons-from-the-worst-avenger-66to,2022-04-26,Leadership Lessons From The Worst Avenger,https://typeshare.co/seanoliver/posts/leadership-lessons-from-the-worst-avenger-66to,Medium_Story,hidden
5-reasons-everyone-should-x-82mq,2022-04-26,5 Reasons Everyone Should Start A Work Newsletter,https://typeshare.co/seanoliver/posts/5-reasons-everyone-should-x-82mq,Atomic_Essay,public
stop-playing-with-your-time,2022-04-25,Stop Playing With Your Time,https://typeshare.co/seanoliver/posts/stop-playing-with-your-time,Tweet_Thread,hidden
how-to-immediately-fix-any-uncertainty-in-your-life-now,2022-04-23,How To Immediately Fix Any Uncertainty In Your Life Now,https://typeshare.co/seanoliver/posts/how-to-immediately-fix-any-uncertainty-in-your-life-now,Tweet_Thread,hidden
1-writing-lesson-i-learned-from-netflix,2022-01-08,1 Writing Lesson I Learned From Netflix,https://typeshare.co/seanoliver/posts/1-writing-lesson-i-learned-from-netflix,Atomic_Essay,public
how-to-clearly-communicate-in-a-crisis,2022-01-01,How To Clearly Communicate In A Crisis,https://typeshare.co/seanoliver/posts/how-to-clearly-communicate-in-a-crisis,Atomic_Essay,public
-M_lfciH0PWdE5aOY2TF,2022-01-01,What's With The Pictures?,https://typeshare.co/seanoliver/posts/-M_lfciH0PWdE5aOY2TF,Atomic_Essay,hidden
lets-stop-feeling-like-a-failure,2022-01-01,Let's stop feeling like a failure,https://typeshare.co/seanoliver/posts/lets-stop-feeling-like-a-failure,Atomic_Essay,public
10-things-id-tell-my-myself-2-years-ago,2022-01-01,10 Things I'd Tell My Myself 2 Years Ago,https://typeshare.co/seanoliver/posts/10-things-id-tell-my-myself-2-years-ago,Atomic_Essay,public
how-to-get-almost-anything-you-want-in-life,2022-01-01,How To Get Almost Anything You Want In Life,https://typeshare.co/seanoliver/posts/how-to-get-almost-anything-you-want-in-life,Atomic_Essay,public
do-you-use-your-blinker,2022-01-01,Do You Use Your Blinker?,https://typeshare.co/seanoliver/posts/do-you-use-your-blinker,Atomic_Essay,public
what-you-should-know-about-breaking-rules,2022-01-01,What You Should Know About Breaking Rules,https://typeshare.co/seanoliver/posts/what-you-should-know-about-breaking-rules,Atomic_Essay,public
3-stages-for-better-sleep,2022-01-01,3 Stages For Better Sleep,https://typeshare.co/seanoliver/posts/3-stages-for-better-sleep,Atomic_Essay,public
how-to-get-your-whites-their-whitest,2022-01-01,How To Get Your Whites Their Whitest,https://typeshare.co/seanoliver/posts/how-to-get-your-whites-their-whitest,Atomic_Essay,public
3-steps-you-probably-missed-to-crush-toxic-contacts,2022-01-01,3 Steps You Probably Missed To Crush Toxic Contacts,https://typeshare.co/seanoliver/posts/3-steps-you-probably-missed-to-crush-toxic-contacts,Atomic_Essay,public
you-wont-be-able-to-have-clear-mission-in-2021,2022-01-01,You Won't Be Able To Have Clear Mission In 2021,https://typeshare.co/seanoliver/posts/you-wont-be-able-to-have-clear-mission-in-2021,Atomic_Essay,public
if-you-want-to-be-more-effective-you-absolutely-need-to-read-this-book-now,2022-01-01,"If You Want To Be More Effective, You Absolutely Need To Read This Book Now",https://typeshare.co/seanoliver/posts/if-you-want-to-be-more-effective-you-absolutely-need-to-read-this-book-now,Atomic_Essay,public
why-are-you-discriminating,2022-01-01,Why Are You Discriminating?,https://typeshare.co/seanoliver/posts/why-are-you-discriminating,Atomic_Essay,public
10-things-i-cant-live-without,2022-01-01,10 Things I Can't Live Without,https://typeshare.co/seanoliver/posts/10-things-i-cant-live-without,Atomic_Essay,public
1-communication-tip-you-should-copy-from-trump,2022-01-01,1 Communication Tip You Should Copy From Trump,https://typeshare.co/seanoliver/posts/1-communication-tip-you-should-copy-from-trump,Atomic_Essay,public
what-i-learned-after-7-essays,2022-01-01,What I Learned After 7 Essays,https://typeshare.co/seanoliver/posts/what-i-learned-after-7-essays,Atomic_Essay,public
these-3-questions-can-help-you-get-better-results,2022-01-01,These 3 Questions Can Help You Get Better Results,https://typeshare.co/seanoliver/posts/these-3-questions-can-help-you-get-better-results,Atomic_Essay,public
hard-work-is-not-a-spectator-sport,2022-01-01,Hard Work Is Not A Spectator Sport,https://typeshare.co/seanoliver/posts/hard-work-is-not-a-spectator-sport,Medium_Story,hidden
ive-written-14-essays-and-here-are-3-insights-ive-earned,2022-01-01,I've Written 14 Essays And Here Are 3 Insights I've Earned,https://typeshare.co/seanoliver/posts/ive-written-14-essays-and-here-are-3-insights-ive-earned,Atomic_Essay,public
the-1-key-quality-you-miss-when-you-only-see-positive-and-negative,2022-01-01,The 1 Key Quality You Miss When You Only See Positive and Negative,https://typeshare.co/seanoliver/posts/the-1-key-quality-you-miss-when-you-only-see-positive-and-negative,Atomic_Essay,public
1-document-you-must-update-today-if-you-have-it,2022-01-01,1 Document You Must Update Today (If You Have It),https://typeshare.co/seanoliver/posts/1-document-you-must-update-today-if-you-have-it,Atomic_Essay,public
this-approach-might-help-you-beat-your-competition,2022-01-01,This Approach Might Help You Beat Your Competition,https://typeshare.co/seanoliver/posts/this-approach-might-help-you-beat-your-competition,Atomic_Essay,public
why-you-should-stop-giving-advice,2022-01-01,Why You Should Stop Giving Advice,https://typeshare.co/seanoliver/posts/why-you-should-stop-giving-advice,Atomic_Essay,public
youre-not-failing-hard-enough,2022-01-01,You're Not Failing Hard Enough,https://typeshare.co/seanoliver/posts/youre-not-failing-hard-enough,Atomic_Essay,public
turn-on-your-camera,2022-01-01,Turn On Your Camera,https://typeshare.co/seanoliver/posts/turn-on-your-camera,Atomic_Essay,public
15-remote-work-productivity-tips,2022-01-01,15 Remote Work Productivity Tips,https://typeshare.co/seanoliver/posts/15-remote-work-productivity-tips,Atomic_Essay,public
3-sanity-saving-remote-work-tools,2022-01-01,3 Sanity Saving Remote Work Tools,https://typeshare.co/seanoliver/posts/3-sanity-saving-remote-work-tools,Atomic_Essay,public
i-analysed-22-films-and-heres-what-i-found,2022-01-01,I Analysed 22 Films And Here's What I Found,https://typeshare.co/seanoliver/posts/i-analysed-22-films-and-heres-what-i-found,Atomic_Essay,public
if-you-want-more-friends-do-this-one-thing,2022-01-01,If You Want More Friends Do This One Thing,https://typeshare.co/seanoliver/posts/if-you-want-more-friends-do-this-one-thing,Atomic_Essay,public
-MbYxe-8MROjpzUxveTe,2022-01-01,How do I stay on track with my goals?,https://typeshare.co/seanoliver/posts/-MbYxe-8MROjpzUxveTe,Atomic_Essay,hidden
are-you-still-lying-to-everyone,2021-10-10,Are you still lying to everyone?,https://typeshare.co/seanoliver/posts/are-you-still-lying-to-everyone,Atomic_Essay,public
how-i-fuel-my-productivity-with-snacks,2021-10-07,How I Fuel My Productivity With Snacks,https://typeshare.co/seanoliver/posts/how-i-fuel-my-productivity-with-snacks,Atomic_Essay,public
3-ways-you-can-improve-your-sleep-today,2021-09-26,3 ways you can improve your sleep today,https://typeshare.co/seanoliver/posts/3-ways-you-can-improve-your-sleep-today,Atomic_Essay,public
try-this-patented-amazon-tweak-and-immediately-improve-your-life-wu66,2021-08-29,Try this patented Amazon tweak and immediately improve your life,https://typeshare.co/seanoliver/posts/try-this-patented-amazon-tweak-and-immediately-improve-your-life-wu66,Atomic_Essay,public
you-can-learn-a-lot-from-your-first-job,2021-08-18,You can learn a lot from your first job,https://typeshare.co/seanoliver/posts/you-can-learn-a-lot-from-your-first-job,Atomic_Essay,public
6-things-alumni-shippers-know-that-you-dont,2021-08-17,6 Things alumni shippers know that you don’t,https://typeshare.co/seanoliver/posts/6-things-alumni-shippers-know-that-you-dont,Atomic_Essay,public
ditch-this-dangerous-emotion,2021-08-14,Ditch This Dangerous Emotion,https://typeshare.co/seanoliver/posts/ditch-this-dangerous-emotion,Atomic_Essay,public
my-one-mistake-that-gets-cops-killed,2021-07-21,My One Mistake That Gets Cops Killed,https://typeshare.co/seanoliver/posts/my-one-mistake-that-gets-cops-killed,LinkedIn_Post,hidden
25-things-harder-than-writing-an-atomic-essay-every-day,2021-07-10,25 Things Harder Than Writing An Atomic Essay Every Day,https://typeshare.co/seanoliver/posts/25-things-harder-than-writing-an-atomic-essay-every-day,Atomic_Essay,public
1-thing-an-immigrant-nurse-taught-me-about-perspective,2021-07-08,1 Thing An Immigrant Nurse Taught Me About Perspective,https://typeshare.co/seanoliver/posts/1-thing-an-immigrant-nurse-taught-me-about-perspective,Atomic_Essay,public
1-productivity-lesson-i-learned-from-movie-villains,2021-07-06,1 Productivity Lesson For Modern Workers To Get More Done Today,https://typeshare.co/seanoliver/posts/1-productivity-lesson-i-learned-from-movie-villains,Atomic_Essay,public
why-does-this-regular-guy-create-content,2021-07-06,Why Does This Regular Guy Create Content?,https://typeshare.co/seanoliver/posts/why-does-this-regular-guy-create-content,Atomic_Essay,public
a-reminder-its-not-about-you,2021-07-03,A Reminder: It's Not About You,https://typeshare.co/seanoliver/posts/a-reminder-its-not-about-you,Atomic_Essay,public
-Md__OGOVwvGdtp2k18l,2021-07-02,My Monthly Review Template,https://typeshare.co/seanoliver/posts/-Md__OGOVwvGdtp2k18l,Atomic_Essay,hidden
-MdVM_pcRI7O8LcRzHd3,2021-07-01,Don't Make This Journaling Mistake,https://typeshare.co/seanoliver/posts/-MdVM_pcRI7O8LcRzHd3,Atomic_Essay,hidden
